id,customer_id,store_id,subtotal,tax_paid,order_total
ORD001,CUS021,STORE005,212.15,49.64,176.68
ORD002,CUS025,STORE006,83.6,49.85,279.15
ORD003,CUS032,STORE004,195.86,27.3,316.68
ORD004,CUS049,STORE007,323.37,38.25,329.67
ORD005,CUS025,STORE004,379.54,49.99,204.05
ORD006,CUS043,STORE008,163.93,17.54,341.49
ORD007,CUS033,STORE002,297.47,41.02,183.92
ORD008,CUS025,STORE006,447.31,44.84,250.35
ORD009,CUS021,STORE007,160.51,47.58,98.75
ORD010,CUS007,STORE010,267.14,40.05,106.15
ORD011,CUS026,STORE003,340.88,23.64,315.09
ORD012,CUS018,STORE002,227.88,27.77,428.64
ORD013,CUS046,STORE005,293.17,22.53,57.22
ORD014,CUS020,STORE007,128.55,18.09,459.67
ORD015,CUS041,STORE001,408.35,5.25,528.86
ORD016,CUS004,STORE010,491.33,16.01,103.34
ORD017,CUS018,STORE006,88.87,38.18,164.56
ORD018,CUS046,STORE002,50.6,32.04,515.01
ORD019,CUS002,STORE001,318.17,20.07,225.52
ORD020,CUS003,STORE009,126.34,15.01,497.19
ORD021,CUS036,STORE001,338.63,25.05,81.12
ORD022,CUS044,STORE003,325.77,9.15,259.55
ORD023,CUS048,STORE006,323.37,49.71,530.7
ORD024,CUS023,STORE002,455.83,44.95,209.04
ORD025,CUS033,STORE010,399.38,21.22,172.56
ORD026,CUS036,STORE001,114.19,23.42,253.81
ORD027,CUS028,STORE001,266.02,44.01,162.15
ORD028,CUS001,STORE004,424.64,37.83,302.86
ORD029,CUS024,STORE010,319.59,33.76,335.44
ORD030,CUS048,STORE001,122.47,26.75,111.13
ORD031,CUS004,STORE004,200.73,36.38,202.97
ORD032,CUS004,STORE003,497.79,23.53,257.47
ORD033,CUS031,STORE009,330.66,33.9,461.3
ORD034,CUS022,STORE004,410.57,22.0,428.61
ORD035,CUS005,STORE005,372.37,34.77,124.57
ORD036,CUS046,STORE006,209.92,47.2,356.42
