id,name,opened_at,tax_rate
1,Ship Supplies Depot,2015-11-14,0.1
2,Nautical Necessities,2019-07-22,0.1
3,Marine Mart,2016-12-23,0.1
4,Sailor's Stop,2017-04-22,0.1
5,Fisherman's Friend,2015-11-23,0.1
6,Seafarer Supplies,2015-11-25,0.1
7,Mariner's Market,2013-09-05,0.1
8,Buccaneer's Bounty,2015-07-11,0.1
9,Captain's Corner,2018-05-22,0.1
10,Deckhand Depot,2018-10-26,0.1
11,Helmsman's Haven,2019-09-28,0.1
12,Boatswain's Bargains,2017-04-22,0.1
13,Matey's Market,2018-05-04,0.1
14,Sailor's Store,2018-11-20,0.1
15,First Mate's Finds,2018-11-01,0.1
16,Lookout Landing,2014-06-14,0.1
17,Skipper's Shop,2019-05-16,0.1
18,Quartermaster's Quarters,2017-01-31,0.1
19,Navigator's Needs,2014-09-21,0.1
20,Bosun's Best,2015-04-19,0.1
21,Sailor's Supply,2014-06-29,0.1
22,Pirate's Paradise,2019-08-28,0.1
23,Captain's Cache,2019-09-27,0.1
24,Seaman's Shop,2017-07-11,0.1
25,Swabby's Supplies,2015-04-18,0.1
26,Shipwright's Store,2014-07-21,0.1
27,Gunner's Goods,2019-04-26,0.1
28,Rigger's Retail,2014-11-02,0.1
29,Cabin Boy's Corner,2014-10-18,0.1
30,Helmsman's Hub,2018-02-18,0.1
31,Fisherman's Find,2016-09-01,0.1
32,Mariner's Market,2015-08-07,0.1
33,Deckhand Depot,2013-06-28,0.1
34,Navigator's Nook,2018-07-23,0.1
35,Boatswain's Buy,2014-03-03,0.1
36,Matey's Market,2015-06-17,0.1
37,Lookout Lane,2015-06-06,0.1
38,First Mate's Finds,2019-01-23,0.1
39,Quartermaster's Quarters,2017-12-17,0.1
40,Captain's Cache,2016-05-07,0.1
41,Sailor's Stop,2013-05-11,0.1
42,Pirate's Place,2019-09-10,0.1
43,Navigator's Nook,2013-03-05,0.1
44,Seaman's Shop,2016-02-11,0.1
45,Shipwright's Supplies,2014-06-21,0.1
46,Admiral's Attic,2016-11-14,0.1
47,Harbor Haven,2019-07-23,0.1
48,Oceanic Outpost,2016-03-24,0.1
49,Lighthouse Lounge,2014-09-25,0.1
50,Buoy Bazaar,2015-03-08,0.1
